Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Success Hit API Reqres.in,,,,18-06-2025 10:45:32,18-06-2025 10:45:36,4.091s,PASSED
,,,,,,,
Test Cases/Success GET List Users,,,,18-06-2025 10:45:32,18-06-2025 10:45:33,1.063s,PASSED
"response = sendRequestAndVerify(findTestObject(""GET - List Users""))",,,,18-06-2025 10:45:32,18-06-2025 10:45:33,0.777s,PASSED
"verifyResponseStatusCode(response, 200)",,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.008s,PASSED
json = JsonSlurper().parseText(response.getResponseText()),,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.011s,PASSED
"verifyGreaterThan(data.size(), 1)",,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.013s,PASSED
"verifyElementPropertyValue(response, ""page"", 1)",,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.020s,PASSED
"verifyElementPropertyValue(response, ""per_page"", data.size())",,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.012s,PASSED
"verifyElementPropertyValue(response, ""total"", total)",,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.011s,PASSED
"verifyElementPropertyValue(response, ""total_pages"", total_pages)",,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.010s,PASSED
,,,,,,,
Test Cases/Success Update Data User,,,,18-06-2025 10:45:33,18-06-2025 10:45:34,0.797s,PASSED
"response_list = sendRequestAndVerify(findTestObject(""GET - List Users""))",,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.113s,PASSED
"verifyResponseStatusCode(response_list, 200)",,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.002s,PASSED
json_list = JsonSlurper().parseText(response_list.getResponseText()),,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.002s,PASSED
total_data_page = data.size(),,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.001s,PASSED
rand = new java.util.Random(),,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.003s,PASSED
randIndex = rand.nextInt(total_data_page),,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.001s,PASSED
println(randIndex),,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.005s,PASSED
id = id,,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.003s,PASSED
"response_detail = sendRequestAndVerify(findTestObject(""GET - Single User""))",,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.114s,PASSED
"verifyResponseStatusCode(response_detail, 200)",,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.002s,PASSED
json_detail = JsonSlurper().parseText(response_detail.getResponseText()),,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.001s,PASSED
userId = id,,,,18-06-2025 10:45:33,18-06-2025 10:45:33,0.001s,PASSED
"response_update = sendRequestAndVerify(findTestObject(""PUT - Update Data User""))",,,,18-06-2025 10:45:33,18-06-2025 10:45:34,0.470s,PASSED
"verifyResponseStatusCode(response_update, 200)",,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.003s,PASSED
json_put = JsonSlurper().parseText(response_update.getResponseText()),,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.002s,PASSED
"verifyElementPropertyValue(response_update, ""name"", name)",,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.014s,PASSED
"verifyElementPropertyValue(response_update, ""job"", job)",,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.010s,PASSED
,,,,,,,
Test Cases/Success DELETE User,,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.688s,PASSED
"resp_list = sendRequestAndVerify(findTestObject(""GET - List Users""))",,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.118s,PASSED
"verifyResponseStatusCode(resp_list, 200)",,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.001s,PASSED
json_list = JsonSlurper().parseText(resp_list.getResponseText()),,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.001s,PASSED
rand = new java.util.Random(),,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.001s,PASSED
randIndex = rand.nextInt(data.size()),,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.001s,PASSED
id = id,,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.001s,PASSED
"resp_del = sendRequestAndVerify(findTestObject(""DELETE - Data User""))",,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.524s,PASSED
"verifyResponseStatusCode(resp_del, 204)",,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.002s,PASSED
,,,,,,,
Test Cases/Success Update and Delete Data User,,,,18-06-2025 10:45:34,18-06-2025 10:45:36,1.302s,PASSED
"response_list = sendRequestAndVerify(findTestObject(""GET - List Users""))",,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.106s,PASSED
"verifyResponseStatusCode(response_list, 200)",,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.002s,PASSED
json_list = JsonSlurper().parseText(response_list.getResponseText()),,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.001s,PASSED
total_data_page = data.size(),,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.000s,PASSED
rand = new java.util.Random(),,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.001s,PASSED
randIndex = rand.nextInt(total_data_page),,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.000s,PASSED
println(randIndex),,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.001s,PASSED
id = id,,,,18-06-2025 10:45:34,18-06-2025 10:45:34,0.001s,PASSED
"response_detail = sendRequestAndVerify(findTestObject(""GET - Single User""))",,,,18-06-2025 10:45:34,18-06-2025 10:45:35,0.111s,PASSED
"verifyResponseStatusCode(response_detail, 200)",,,,18-06-2025 10:45:35,18-06-2025 10:45:35,0.001s,PASSED
json_detail = JsonSlurper().parseText(response_detail.getResponseText()),,,,18-06-2025 10:45:35,18-06-2025 10:45:35,0.001s,PASSED
userId = id,,,,18-06-2025 10:45:35,18-06-2025 10:45:35,0.001s,PASSED
"response_update = sendRequestAndVerify(findTestObject(""PUT - Update Data User""))",,,,18-06-2025 10:45:35,18-06-2025 10:45:35,0.544s,PASSED
"verifyResponseStatusCode(response_update, 200)",,,,18-06-2025 10:45:35,18-06-2025 10:45:35,0.002s,PASSED
json_put = JsonSlurper().parseText(response_update.getResponseText()),,,,18-06-2025 10:45:35,18-06-2025 10:45:35,0.001s,PASSED
"verifyElementPropertyValue(response_update, ""name"", name)",,,,18-06-2025 10:45:35,18-06-2025 10:45:35,0.011s,PASSED
"verifyElementPropertyValue(response_update, ""job"", job)",,,,18-06-2025 10:45:35,18-06-2025 10:45:35,0.010s,PASSED
"response_delete = sendRequestAndVerify(findTestObject(""DELETE - Data User""))",,,,18-06-2025 10:45:35,18-06-2025 10:45:36,0.452s,PASSED
"verifyResponseStatusCode(response_delete, 204)",,,,18-06-2025 10:45:36,18-06-2025 10:45:36,0.002s,PASSED
response_delete_body = response_delete.getResponseBodyContent(),,,,18-06-2025 10:45:36,18-06-2025 10:45:36,0.001s,PASSED
"verifyEqual(response_delete_body, """")",,,,18-06-2025 10:45:36,18-06-2025 10:45:36,0.005s,PASSED
