Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Success Hit API Reqres.in,,,,18-06-2025 07:43:56,18-06-2025 07:43:59,3.136s,PASSED
,,,,,,,
Test Cases/Success GET List Users,,,,18-06-2025 07:43:56,18-06-2025 07:43:58,1.510s,PASSED
"response = sendRequestAndVerify(findTestObject(""GET - List Users""))",,,,18-06-2025 07:43:56,18-06-2025 07:43:58,1.225s,PASSED
"verifyResponseStatusCode(response, 200)",,,,18-06-2025 07:43:58,18-06-2025 07:43:58,0.007s,PASSED
json = JsonSlurper().parseText(response.getResponseText()),,,,18-06-2025 07:43:58,18-06-2025 07:43:58,0.010s,PASSED
"verifyGreaterThan(data.size(), 1)",,,,18-06-2025 07:43:58,18-06-2025 07:43:58,0.012s,PASSED
"verifyElementPropertyValue(response, ""page"", 1)",,,,18-06-2025 07:43:58,18-06-2025 07:43:58,0.019s,PASSED
"verifyElementPropertyValue(response, ""per_page"", data.size())",,,,18-06-2025 07:43:58,18-06-2025 07:43:58,0.011s,PASSED
"verifyElementPropertyValue(response, ""total"", total)",,,,18-06-2025 07:43:58,18-06-2025 07:43:58,0.010s,PASSED
"verifyElementPropertyValue(response, ""total_pages"", total_pages)",,,,18-06-2025 07:43:58,18-06-2025 07:43:58,0.011s,PASSED
,,,,,,,
Test Cases/Success Update Data User,,,,18-06-2025 07:43:58,18-06-2025 07:43:59,0.716s,PASSED
"response_list = sendRequestAndVerify(findTestObject(""GET - List Users""))",,,,18-06-2025 07:43:58,18-06-2025 07:43:58,0.125s,PASSED
"verifyResponseStatusCode(response_list, 200)",,,,18-06-2025 07:43:58,18-06-2025 07:43:58,0.002s,PASSED
json_list = JsonSlurper().parseText(response_list.getResponseText()),,,,18-06-2025 07:43:58,18-06-2025 07:43:58,0.002s,PASSED
id = id,,,,18-06-2025 07:43:58,18-06-2025 07:43:58,0.003s,PASSED
"response_update = sendRequestAndVerify(findTestObject(""PUT - Update Data User""))",,,,18-06-2025 07:43:58,18-06-2025 07:43:58,0.518s,PASSED
"verifyResponseStatusCode(response_update, 200)",,,,18-06-2025 07:43:58,18-06-2025 07:43:58,0.002s,PASSED
json_put = JsonSlurper().parseText(response_update.getResponseText()),,,,18-06-2025 07:43:58,18-06-2025 07:43:58,0.001s,PASSED
"verifyElementPropertyValue(response_update, ""name"", name)",,,,18-06-2025 07:43:58,18-06-2025 07:43:59,0.011s,PASSED
"verifyElementPropertyValue(response_update, ""job"", job)",,,,18-06-2025 07:43:59,18-06-2025 07:43:59,0.009s,PASSED
,,,,,,,
Test Cases/Success DELETE User,,,,18-06-2025 07:43:59,18-06-2025 07:43:59,0.687s,PASSED
"resp_list = sendRequestAndVerify(findTestObject(""GET - List Users""))",,,,18-06-2025 07:43:59,18-06-2025 07:43:59,0.109s,PASSED
"verifyResponseStatusCode(resp_list, 200)",,,,18-06-2025 07:43:59,18-06-2025 07:43:59,0.002s,PASSED
json_list = JsonSlurper().parseText(resp_list.getResponseText()),,,,18-06-2025 07:43:59,18-06-2025 07:43:59,0.001s,PASSED
id = id,,,,18-06-2025 07:43:59,18-06-2025 07:43:59,0.001s,PASSED
"resp_del = sendRequestAndVerify(findTestObject(""DELETE - Data User""))",,,,18-06-2025 07:43:59,18-06-2025 07:43:59,0.545s,PASSED
"verifyResponseStatusCode(resp_del, 204)",,,,18-06-2025 07:43:59,18-06-2025 07:43:59,0.002s,PASSED
