Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Success Update and Delete Data User,,,,18-06-2025 10:45:06,18-06-2025 10:45:07,1.282s,PASSED
"response_list = sendRequestAndVerify(findTestObject(""GET - List Users""))",,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.124s,PASSED
"verifyResponseStatusCode(response_list, 200)",,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.002s,PASSED
json_list = JsonSlurper().parseText(response_list.getResponseText()),,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.000s,PASSED
total_data_page = data.size(),,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.002s,PASSED
rand = new java.util.Random(),,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.001s,PASSED
randIndex = rand.nextInt(total_data_page),,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.000s,PASSED
println(randIndex),,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.002s,PASSED
id = id,,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.001s,PASSED
"response_detail = sendRequestAndVerify(findTestObject(""GET - Single User""))",,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.141s,PASSED
"verifyResponseStatusCode(response_detail, 200)",,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.001s,PASSED
json_detail = JsonSlurper().parseText(response_detail.getResponseText()),,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.001s,PASSED
userId = id,,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.000s,PASSED
"response_update = sendRequestAndVerify(findTestObject(""PUT - Update Data User""))",,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.470s,PASSED
"verifyResponseStatusCode(response_update, 200)",,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.002s,PASSED
json_put = JsonSlurper().parseText(response_update.getResponseText()),,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.001s,PASSED
"verifyElementPropertyValue(response_update, ""name"", name)",,,,18-06-2025 10:45:06,18-06-2025 10:45:06,0.011s,PASSED
"verifyElementPropertyValue(response_update, ""job"", job)",,,,18-06-2025 10:45:06,18-06-2025 10:45:07,0.010s,PASSED
"response_delete = sendRequestAndVerify(findTestObject(""DELETE - Data User""))",,,,18-06-2025 10:45:07,18-06-2025 10:45:07,0.448s,PASSED
"verifyResponseStatusCode(response_delete, 204)",,,,18-06-2025 10:45:07,18-06-2025 10:45:07,0.002s,PASSED
response_delete_body = response_delete.getResponseBodyContent(),,,,18-06-2025 10:45:07,18-06-2025 10:45:07,0.001s,PASSED
"verifyEqual(response_delete_body, """")",,,,18-06-2025 10:45:07,18-06-2025 10:45:07,0.005s,PASSED
