Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Success Hit API Reqres.in,,,,18-06-2025 10:40:56,18-06-2025 10:41:01,4.509s,PASSED
,,,,,,,
Test Cases/Success GET List Users,,,,18-06-2025 10:40:56,18-06-2025 10:40:57,1.056s,PASSED
"response = sendRequestAndVerify(findTestObject(""GET - List Users""))",,,,18-06-2025 10:40:56,18-06-2025 10:40:57,0.771s,PASSED
"verifyResponseStatusCode(response, 200)",,,,18-06-2025 10:40:57,18-06-2025 10:40:57,0.007s,PASSED
json = JsonSlurper().parseText(response.getResponseText()),,,,18-06-2025 10:40:57,18-06-2025 10:40:57,0.011s,PASSED
"verifyGreaterThan(data.size(), 1)",,,,18-06-2025 10:40:57,18-06-2025 10:40:57,0.013s,PASSED
"verifyElementPropertyValue(response, ""page"", 1)",,,,18-06-2025 10:40:57,18-06-2025 10:40:57,0.018s,PASSED
"verifyElementPropertyValue(response, ""per_page"", data.size())",,,,18-06-2025 10:40:57,18-06-2025 10:40:57,0.018s,PASSED
"verifyElementPropertyValue(response, ""total"", total)",,,,18-06-2025 10:40:57,18-06-2025 10:40:57,0.011s,PASSED
"verifyElementPropertyValue(response, ""total_pages"", total_pages)",,,,18-06-2025 10:40:57,18-06-2025 10:40:57,0.010s,PASSED
,,,,,,,
Test Cases/Success Update Data User,,,,18-06-2025 10:40:57,18-06-2025 10:40:58,1.193s,PASSED
"response_list = sendRequestAndVerify(findTestObject(""GET - List Users""))",,,,18-06-2025 10:40:57,18-06-2025 10:40:57,0.117s,PASSED
"verifyResponseStatusCode(response_list, 200)",,,,18-06-2025 10:40:57,18-06-2025 10:40:57,0.002s,PASSED
json_list = JsonSlurper().parseText(response_list.getResponseText()),,,,18-06-2025 10:40:57,18-06-2025 10:40:57,0.002s,PASSED
total_data_page = data.size(),,,,18-06-2025 10:40:57,18-06-2025 10:40:57,0.001s,PASSED
rand = new java.util.Random(),,,,18-06-2025 10:40:57,18-06-2025 10:40:57,0.003s,PASSED
randIndex = rand.nextInt(total_data_page),,,,18-06-2025 10:40:57,18-06-2025 10:40:57,0.001s,PASSED
println(randIndex),,,,18-06-2025 10:40:57,18-06-2025 10:40:57,0.004s,PASSED
id = id,,,,18-06-2025 10:40:57,18-06-2025 10:40:57,0.003s,PASSED
"response_detail = sendRequestAndVerify(findTestObject(""GET - Single User""))",,,,18-06-2025 10:40:57,18-06-2025 10:40:58,0.462s,PASSED
"verifyResponseStatusCode(response_detail, 200)",,,,18-06-2025 10:40:58,18-06-2025 10:40:58,0.002s,PASSED
json_detail = JsonSlurper().parseText(response_detail.getResponseText()),,,,18-06-2025 10:40:58,18-06-2025 10:40:58,0.001s,PASSED
userId = id,,,,18-06-2025 10:40:58,18-06-2025 10:40:58,0.001s,PASSED
