Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"response_update = sendRequestAndVerify(findTestObject(""PUT - Update Data User""))",,,,18-06-2025 10:40:58,18-06-2025 10:40:58,0.513s,PASSED
"verifyResponseStatusCode(response_update, 200)",,,,18-06-2025 10:40:58,18-06-2025 10:40:58,0.003s,PASSED
json_put = JsonSlurper().parseText(response_update.getResponseText()),,,,18-06-2025 10:40:58,18-06-2025 10:40:58,0.002s,PASSED
"verifyElementPropertyValue(response_update, ""name"", name)",,,,18-06-2025 10:40:58,18-06-2025 10:40:58,0.012s,PASSED
"verifyElementPropertyValue(response_update, ""job"", job)",,,,18-06-2025 10:40:58,18-06-2025 10:40:58,0.010s,PASSED
,,,,,,,
Test Cases/Success DELETE User,,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.695s,PASSED
"resp_list = sendRequestAndVerify(findTestObject(""GET - List Users""))",,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.111s,PASSED
"verifyResponseStatusCode(resp_list, 200)",,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.001s,PASSED
json_list = JsonSlurper().parseText(resp_list.getResponseText()),,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.001s,PASSED
rand = new java.util.Random(),,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.001s,PASSED
randIndex = rand.nextInt(data.size()),,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.001s,PASSED
id = id,,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.000s,PASSED
"resp_del = sendRequestAndVerify(findTestObject(""DELETE - Data User""))",,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.541s,PASSED
"verifyResponseStatusCode(resp_del, 204)",,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.002s,PASSED
,,,,,,,
Test Cases/Success Update and Delete Data User,,,,18-06-2025 10:40:59,18-06-2025 10:41:01,1.333s,PASSED
"response_list = sendRequestAndVerify(findTestObject(""GET - List Users""))",,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.113s,PASSED
"verifyResponseStatusCode(response_list, 200)",,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.002s,PASSED
json_list = JsonSlurper().parseText(response_list.getResponseText()),,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.001s,PASSED
total_data_page = data.size(),,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.001s,PASSED
rand = new java.util.Random(),,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.000s,PASSED
randIndex = rand.nextInt(total_data_page),,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.001s,PASSED
println(randIndex),,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.002s,PASSED
id = id,,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.000s,PASSED
"response_detail = sendRequestAndVerify(findTestObject(""GET - Single User""))",,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.108s,PASSED
"verifyResponseStatusCode(response_detail, 200)",,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.001s,PASSED
json_detail = JsonSlurper().parseText(response_detail.getResponseText()),,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.001s,PASSED
userId = id,,,,18-06-2025 10:40:59,18-06-2025 10:40:59,0.001s,PASSED
"response_update = sendRequestAndVerify(findTestObject(""PUT - Update Data User""))",,,,18-06-2025 10:40:59,18-06-2025 10:41:00,0.537s,PASSED
"verifyResponseStatusCode(response_update, 200)",,,,18-06-2025 10:41:00,18-06-2025 10:41:00,0.003s,PASSED
json_put = JsonSlurper().parseText(response_update.getResponseText()),,,,18-06-2025 10:41:00,18-06-2025 10:41:00,0.001s,PASSED
"verifyElementPropertyValue(response_update, ""name"", name)",,,,18-06-2025 10:41:00,18-06-2025 10:41:00,0.012s,PASSED
"verifyElementPropertyValue(response_update, ""job"", job)",,,,18-06-2025 10:41:00,18-06-2025 10:41:00,0.010s,PASSED
"response_delete = sendRequestAndVerify(findTestObject(""DELETE - Data User""))",,,,18-06-2025 10:41:00,18-06-2025 10:41:01,0.483s,PASSED
"verifyResponseStatusCode(response_delete, 204)",,,,18-06-2025 10:41:01,18-06-2025 10:41:01,0.002s,PASSED
response_delete_body = response_delete.getResponseBodyContent(),,,,18-06-2025 10:41:01,18-06-2025 10:41:01,0.001s,PASSED
"verifyEqual(response_delete_body, """")",,,,18-06-2025 10:41:01,18-06-2025 10:41:01,0.008s,PASSED
